price,cost,sales,profit_margin,inventory,discount_percentage,delivery_days,category,material,color,location,season,store_type,brand,revenue
70.90268572399897,63.7506142777079,11,10.087165772720866,14,9.842090534569733,3,Desk,Fabric,Red,Rural,Winter,Retail,BrandC,-9150.835909226422
323.39518335564725,249.24989089502154,38,22.927148045704175,2,19.811605146026658,1,Bed,Plastic,White,Suburban,Winter,Retail,BrandB,10164.656773109367
126.73585565928119,105.36663405089224,8,16.861228022035306,42,21.91241258645378,5,Table,Glass,Brown,Rural,Summer,Online,BrandB,4032.952493415017
79.27321684337578,48.97877933881439,42,38.215224146152266,158,13.597850501451694,4,Desk,Wood,Green,Rural,Fall,Online,BrandD,3747.7447716268753
476.99849176399994,241.23059222454816,24,49.427388893317605,197,20.529859513658,1,Bed,Glass,Green,Urban,Fall,Online,BrandD,7128.460235926383
484.53441488355173,385.2764776164235,35,20.485219257538787,66,10.797421086460904,8,Chair,Wood,Brown,Suburban,Summer,Retail,BrandD,15333.367415007255
413.7788066524075,344.949945695201,14,16.634216119972965,55,20.03418659959851,8,Bed,Plastic,Blue,Rural,Winter,Online,BrandD,4254.880380621328
187.07619612801682,148.94828129978913,14,20.380954721859233,62,1.2178795590712022,8,Chair,Fabric,Black,Suburban,Winter,Online,BrandD,6379.848367782289
93.95245130287273,52.344679515929734,10,44.28598850796646,14,11.722589537010125,3,Chair,Wood,Black,Suburban,Winter,Online,BrandB,7104.43899508428
357.9048619304706,286.814637561212,12,19.862883109721245,108,23.725490328995374,6,Bed,Wood,Blue,Suburban,Spring,Retail,BrandA,1221.7150094529961
248.06862218282058,200.33255714037978,38,19.243088715694352,115,24.09018091377004,7,Bed,Wood,Blue,Rural,Fall,Online,BrandA,8313.3599592323
104.91720568015047,80.09549513258224,44,23.6583793731978,91,21.484463366270838,9,Chair,Plastic,Red,Urban,Winter,Online,BrandA,286.6430253841245
272.8296095500716,220.0224491009193,46,19.355362688176548,137,6.127158617095932,5,Sofa,Glass,Brown,Suburban,Fall,Online,BrandB,13864.732802657478
65.47483450184828,54.89204375671003,34,16.163142412890725,165,7.416153567918997,9,Desk,Plastic,White,Rural,Fall,Retail,BrandC,4361.671545903762
459.1941809354519,342.30246593008326,41,25.45583543050166,46,29.882661817935368,6,Table,Wood,Black,Suburban,Winter,Retail,BrandB,12366.994445216056
166.4509917200076,89.12483286453208,10,46.45581144121284,56,3.1013402160587966,4,Bed,Wood,Blue,Urban,Summer,Online,BrandA,4207.9727049410585
348.1350279592919,241.97164244053505,17,30.494887613311562,49,5.419880967072281,1,Desk,Fabric,Blue,Suburban,Summer,Retail,BrandA,5613.49514723191
190.26998424023492,101.04472719380986,17,46.8940266131358,70,3.900787669503978,1,Desk,Plastic,Brown,Rural,Fall,Retail,BrandD,2868.091035786748
284.0306095300149,188.31718297054786,3,33.69827875870278,142,9.829648910508467,5,Sofa,Plastic,White,Suburban,Spring,Online,BrandD,-3633.489373388463
296.01962570447586,196.21441706537055,31,33.7157404349749,145,6.305275057017701,3,Desk,Metal,Blue,Suburban,Fall,Retail,BrandD,9457.812110804858
133.18450498648718,70.10884785966489,1,47.35960623439034,81,14.930638786433164,5,Bed,Glass,Red,Suburban,Fall,Online,BrandB,-2776.2784222346827
486.31308249405134,311.01093689179305,12,36.04717864122083,115,14.280621206403596,5,Desk,Metal,White,Urban,Summer,Retail,BrandC,9350.783461772764
398.80977051250153,217.11173577876605,39,45.56007604834741,104,27.045168583539095,1,Bed,Metal,Red,Suburban,Winter,Retail,BrandC,7131.087512797715
472.7745237038851,389.2324684330704,4,17.670591599631113,87,1.0421984233434445,8,Bed,Glass,Green,Rural,Winter,Online,BrandD,3215.5877180797347
452.67230769244196,397.93300412055373,42,12.092478961421167,1,9.5963873000329,5,Chair,Fabric,Black,Suburban,Spring,Online,BrandC,15884.633377852519
319.0549904649883,168.75666816204742,13,47.107340989682456,103,17.899736759912706,5,Sofa,Fabric,Blue,Suburban,Summer,Online,BrandA,4736.892708187904
464.84340576040256,410.0133052206122,34,11.795391708331946,83,18.144052855318915,9,Table,Glass,White,Suburban,Summer,Retail,BrandA,12645.564754526838
89.82162592336377,63.68628489045335,42,29.096936026530194,42,14.403786870426277,8,Chair,Glass,Red,Urban,Fall,Retail,BrandD,-860.8870164030222
138.19228808861533,85.6552106320129,21,38.01737288184505,153,24.469966224439013,1,Table,Plastic,Black,Rural,Summer,Retail,BrandD,7660.836636876803
70.35228000974213,37.33910890165448,22,46.92551698895346,70,1.8816651424337638,3,Bed,Plastic,Black,Suburban,Fall,Retail,BrandD,-2917.2175595674053
196.39864884346895,137.52809635264674,4,29.975029277183285,165,24.46463296740408,7,Chair,Plastic,Blue,Rural,Spring,Online,BrandC,3806.273206777204
224.9047803602669,183.92852779073732,18,18.219378220370057,93,14.842627213071108,1,Desk,Plastic,Black,Rural,Summer,Online,BrandB,-5044.485258139035
172.10706429825316,134.73136327207257,5,21.716540909332068,41,4.012820852310065,1,Desk,Wood,Blue,Urban,Summer,Online,BrandD,-618.6064821447723
422.9318791183682,219.96281212281576,19,47.99095954144105,132,26.57105740621433,5,Table,Wood,Green,Rural,Fall,Online,BrandC,13546.46434519777
210.53899701211517,111.40897022553787,2,47.08392658528387,138,19.476863386228903,9,Bed,Fabric,Blue,Suburban,Summer,Online,BrandD,-1038.177118445388
176.42052935932134,116.64031179437158,12,33.88506869469452,64,4.906370604724178,6,Table,Wood,Brown,Urban,Winter,Retail,BrandB,2495.540318064688
294.21323742121183,181.85796760402772,17,38.18838023808227,33,1.0094917019707983,2,Sofa,Wood,Red,Urban,Spring,Retail,BrandD,12964.18790585263
113.41590123864319,67.25038159257507,10,40.70462707775808,119,4.233289449979479,9,Desk,Plastic,Brown,Rural,Winter,Online,BrandA,372.0315387720058
410.98864133931784,251.69018355635012,34,38.75982004365145,0,18.263938805411808,6,Chair,Plastic,Black,Urban,Fall,Retail,BrandD,12716.512327472243
83.54778965589688,68.62557771959288,6,17.860690268124614,129,5.378887057801453,5,Chair,Glass,Black,Rural,Fall,Retail,BrandA,3497.5175132138784
494.0991214702328,430.70186671311376,8,12.83087785472584,147,6.772892246250843,5,Chair,Plastic,Black,Rural,Fall,Retail,BrandA,-3213.388676597448
397.51014618349586,263.16804562014033,11,33.79589221889734,60,0.7541917726894254,3,Desk,Glass,Blue,Urban,Spring,Online,BrandC,1912.0744745219336
139.4220566903776,120.24377214802553,12,13.755559914700122,148,21.687920167158108,6,Bed,Glass,White,Suburban,Summer,Retail,BrandC,1959.565084405242
52.48495270562108,32.99195102283277,9,37.140171950084714,87,24.31093199278311,4,Desk,Wood,Blue,Rural,Winter,Online,BrandA,-7621.761555910411
416.95764280467534,287.94043851068596,2,30.942520546248325,67,23.905445303163695,2,Desk,Plastic,Red,Urban,Summer,Retail,BrandA,7483.586849096247
368.0858047314277,217.32212858720996,8,40.958840087360024,126,3.8270445409285268,3,Chair,Wood,Blue,Urban,Fall,Retail,BrandD,6614.064716546391
378.0532256184443,285.8802262795872,11,24.380958312966236,139,27.09903382166278,9,Desk,Plastic,Black,Rural,Summer,Online,BrandD,6069.066795670398
397.0716560086756,354.02608904581035,36,10.840755393007635,21,20.1683648842224,9,Chair,Wood,Green,Rural,Spring,Online,BrandA,18011.578883227136
83.32009328034067,61.7732870627207,10,25.86027615826485,147,26.925858671305935,6,Bed,Wood,Red,Rural,Fall,Online,BrandC,4225.084329274747
211.30957784492267,135.898606146862,21,35.68743663545805,81,13.414815135919907,9,Sofa,Wood,Brown,Rural,Summer,Online,BrandD,2692.766547622893
102.14107678630837,77.53804699092568,20,24.08730216037887,128,13.108645832510932,4,Chair,Fabric,Green,Suburban,Winter,Retail,BrandD,-6386.182651359279
438.3965416440171,240.75347095631335,48,45.083172861384504,29,23.53609556054686,5,Table,Wood,Red,Suburban,Fall,Online,BrandD,12684.26589973501
330.48415707240105,282.7171773626987,8,14.453636789384058,125,2.798935664302306,6,Sofa,Metal,Red,Suburban,Fall,Online,BrandC,-691.3137202805633
198.90411118369212,139.4782420241035,36,29.876641968806556,96,15.626221099046573,9,Bed,Metal,Black,Suburban,Spring,Retail,BrandA,9135.56649050189
78.60125762871064,53.428410750136344,29,32.02601031841433,23,25.09152706893677,5,Sofa,Metal,Brown,Urban,Spring,Retail,BrandD,2111.9631769426373
189.94204477204798,139.4831647375459,42,26.565408461859224,13,24.90577689208714,8,Chair,Glass,Blue,Rural,Winter,Retail,BrandC,-1836.6746907429488
196.33249491203617,147.23239728090715,12,25.008645488423902,35,28.68398569027107,1,Bed,Wood,Brown,Urban,Summer,Online,BrandC,6005.858577793301
378.32278025212884,200.0231591526454,14,47.12896775093947,196,20.948177805916394,5,Table,Metal,Black,Urban,Summer,Online,BrandC,10833.814677976816
336.9008621098459,260.4401631833996,48,22.69531115106391,23,6.2331188831918505,1,Chair,Glass,Black,Suburban,Fall,Retail,BrandC,22540.963451933017
449.24573415934697,268.0975772155753,21,40.32273278737881,187,0.6084094468374246,6,Chair,Metal,Black,Urban,Fall,Retail,BrandD,3727.1236870369967
262.4967163228772,206.21244681866008,22,21.44189469973641,94,14.382473958813058,7,Bed,Plastic,Green,Suburban,Summer,Retail,BrandA,6552.201441273393
103.81741067223577,86.06607835243275,21,17.098608224632123,54,15.411115968676667,5,Bed,Fabric,Brown,Rural,Summer,Online,BrandA,-3187.673543594962
370.9601542503477,304.77470591419876,44,17.841659697899193,23,7.207877534967944,1,Sofa,Wood,Brown,Suburban,Summer,Retail,BrandC,24841.68273121529
392.35327187760385,282.88686085001257,30,27.89996130368444,151,3.740923413708096,6,Table,Fabric,Red,Rural,Fall,Online,BrandA,11483.156834032425
302.5747389062733,214.2434771942686,39,29.193204307569946,181,17.58624498571527,5,Sofa,Fabric,White,Suburban,Spring,Online,BrandD,7874.232694609395
396.93523097955244,221.15261657605024,20,44.28496154642353,25,22.927670220724238,6,Sofa,Plastic,Blue,Urban,Spring,Retail,BrandA,3347.469841179592
272.20801836397584,220.52618484093782,24,18.98615398387457,193,29.794623107704815,7,Chair,Plastic,Black,Urban,Winter,Online,BrandA,6256.687610145913
285.2297732218973,173.58050102499342,23,39.14362478213143,79,22.749078516315556,7,Bed,Plastic,Brown,Suburban,Summer,Online,BrandB,7645.951951601144
242.39345826134732,169.35501762644333,7,30.132183087282137,165,23.808972427667427,2,Chair,Glass,Brown,Rural,Summer,Online,BrandA,-6947.51055067155
61.43860703484283,37.705465231645455,9,38.62903628289933,64,18.493826346863923,3,Table,Metal,Red,Rural,Summer,Online,BrandA,7435.005784920507
98.551142146987,54.55114628360604,1,44.64686548001227,74,29.57767976910053,6,Sofa,Wood,Blue,Suburban,Winter,Online,BrandC,2423.9673187037197
64.14313355903042,48.22428815345211,26,24.817692124330538,178,19.19869155343711,3,Table,Plastic,White,Urban,Summer,Online,BrandC,8291.662841777335
336.3846850687012,175.50292830356827,38,47.82671860708385,162,25.80759859199113,2,Bed,Wood,White,Rural,Spring,Retail,BrandB,18037.26454537536
191.460191484347,153.06439969403192,38,20.054190634952,42,28.37353938722867,4,Bed,Wood,Black,Suburban,Summer,Online,BrandD,4714.10258184254
278.85681102411627,174.8529018920117,44,37.29652818955534,28,27.895755015016828,5,Desk,Wood,White,Rural,Winter,Retail,BrandB,13131.509610759826
458.40491326674186,229.22715420738643,22,49.994612279820586,164,11.442460313500696,9,Table,Plastic,White,Urban,Fall,Online,BrandA,6052.029339088223
162.18150311699372,114.2490283938525,44,29.554834430510812,80,2.3598617494277594,3,Chair,Plastic,Blue,Rural,Fall,Retail,BrandA,4628.999013765499
234.6723153660334,121.73409602441279,10,48.12592365889587,185,5.156211076177405,3,Table,Metal,Blue,Suburban,Spring,Retail,BrandD,10087.614319707283
389.9980123443719,238.0812376202559,6,38.95321768716401,53,1.7766991618982242,6,Sofa,Plastic,Black,Rural,Spring,Retail,BrandD,-1397.1052239469045
152.9591744712301,119.73500319233358,17,21.72094050177136,38,3.1619080448742007,5,Bed,Plastic,Brown,Rural,Spring,Online,BrandC,3500.430437626573
84.64095942295685,44.442923599453174,38,47.49241513512536,41,5.539537376810929,6,Bed,Wood,Red,Urban,Fall,Online,BrandA,-1500.5982474658672
180.38815381119562,150.75676532910646,24,16.426460305759903,155,10.232829497622053,7,Table,Metal,Black,Urban,Summer,Online,BrandA,608.2776641163023
122.54957926430198,61.4620415980036,10,49.84720309365668,28,16.306189397252275,3,Table,Fabric,Green,Urban,Winter,Online,BrandA,-1499.9397992586848
468.36394355415786,280.4233320741584,8,40.1270452319239,170,21.35046178065258,5,Table,Plastic,White,Urban,Winter,Online,BrandA,10182.657769681497
413.65417080398765,329.4183065991523,21,20.36383775391715,130,6.327820083195358,8,Sofa,Plastic,Red,Suburban,Summer,Online,BrandA,10705.898133295288
335.03169042969057,209.9000543733497,6,37.34919401082772,137,20.175672127144182,4,Sofa,Fabric,Brown,Rural,Fall,Retail,BrandA,5813.91488382209
442.15726558447295,239.0996166686927,21,45.924304477359456,186,21.12777223507259,2,Chair,Wood,Brown,Rural,Fall,Online,BrandA,-1710.5889917907643
411.6524346046015,265.1426851828417,39,35.5906432479829,141,16.758670105985683,4,Table,Metal,Blue,Rural,Winter,Online,BrandA,13537.175666930789
133.95652649871613,81.4666414224155,24,39.18426854461899,174,27.10853609396132,2,Chair,Wood,Green,Rural,Spring,Online,BrandC,430.9556555871293
451.65154932049,378.0706291568977,33,16.291523913577805,41,3.3298444176543196,3,Desk,Glass,Brown,Suburban,Spring,Retail,BrandB,16869.819748362057
292.7040088620428,183.03928108931916,18,37.46608329659428,93,5.313643728072584,4,Sofa,Plastic,Green,Urban,Winter,Retail,BrandA,17021.343034670943
413.34806982382815,337.1155206838958,28,18.44270112895972,159,12.859944731684545,4,Bed,Glass,White,Rural,Winter,Retail,BrandC,-1867.42040324124
453.24108496557193,388.3137819086216,32,14.325114207570614,31,3.8013820570271664,9,Desk,Plastic,Blue,Rural,Summer,Retail,BrandA,15949.61882095223
193.10156373733875,130.0591107073594,12,32.647303216938816,169,16.98888431172262,6,Bed,Glass,Red,Urban,Summer,Online,BrandD,12947.47719524425
99.52336603745454,85.98592485036438,48,13.602274245824326,159,11.952013998282732,9,Desk,Fabric,Blue,Urban,Summer,Online,BrandA,1657.2200967081776
152.57082314387375,99.31250200402044,42,34.907277841472286,25,8.537873836077553,4,Chair,Plastic,White,Rural,Summer,Retail,BrandB,6610.065056707202
242.19850488181535,214.49859286600062,27,11.43686334039566,114,5.099694390529118,9,Chair,Plastic,Brown,Urban,Summer,Retail,BrandC,9588.72191743704
418.1066446651219,223.9863397338135,10,46.42841901897709,128,10.060147150446308,9,Sofa,Glass,Green,Rural,Summer,Online,BrandD,-7019.008686471715
437.32876246535454,338.84569547656474,46,22.519229339870297,55,18.23878052497026,6,Bed,Metal,White,Rural,Spring,Retail,BrandD,17778.926803796938
53.128458739035814,37.058460918786906,42,30.24743838172285,121,17.273556326682346,5,Desk,Glass,Brown,Rural,Winter,Retail,BrandA,-2124.3697029991235
279.8362861599046,183.30942390116496,32,34.494047781774114,105,4.908720006307014,3,Table,Plastic,Black,Rural,Fall,Retail,BrandB,18754.040957614474
237.83495141695056,179.10987528571567,42,24.69152485005597,129,3.747594322219002,5,Table,Plastic,Green,Rural,Summer,Retail,BrandB,8577.86218113748
149.9485147118286,117.19118753989646,26,21.845716334626754,80,0.8003028782661759,3,Sofa,Metal,White,Rural,Spring,Online,BrandA,315.75909990400896
103.93941530015726,52.15111392857865,25,49.82546921398763,157,0.372767813817968,5,Bed,Wood,Red,Urban,Winter,Retail,BrandA,6821.957170516968
201.9268271316326,114.44833656203538,11,43.32187645011205,119,26.394313071590556,5,Table,Metal,Red,Suburban,Winter,Online,BrandC,4074.989487242119
474.3093667606336,372.4364516793306,23,21.478157974627244,198,1.3526656801616976,2,Sofa,Wood,Brown,Suburban,Winter,Retail,BrandC,15241.224601831032
195.44131940933985,149.81635749061525,34,23.34458345687174,51,21.93663329619739,9,Sofa,Plastic,Brown,Rural,Summer,Retail,BrandA,14739.433713152574
283.45577978451473,251.26058944231104,40,11.358099794852912,90,26.15955288734871,7,Bed,Fabric,Red,Urban,Summer,Online,BrandA,5446.163949186498
366.35853150283003,294.70434065318926,23,19.55848838996868,136,2.9417354568737277,6,Table,Fabric,Black,Rural,Fall,Online,BrandD,16773.54751987306
213.63332107068229,188.06335298974554,29,11.969091690746463,21,13.089042714990528,5,Table,Glass,Blue,Urban,Summer,Retail,BrandB,14771.692348043656
487.3019372244323,380.5907075628304,31,21.89837993860773,33,28.869089495228298,4,Table,Metal,Red,Rural,Winter,Retail,BrandC,6902.7866840103015
483.1012827239501,299.1464030869436,7,38.077911654422266,109,25.024159815707552,8,Chair,Metal,Brown,Rural,Winter,Retail,BrandA,-822.754221036133
163.30203312141387,88.53353897000477,40,45.785403109965735,48,14.691120955735652,2,Table,Fabric,Brown,Suburban,Spring,Online,BrandA,5808.5579640784945
273.7618276515734,222.49432571815612,33,18.727045466202576,128,22.877133383746585,8,Desk,Wood,Black,Urban,Spring,Retail,BrandC,5969.001473853715
185.39523941754635,140.4664993632346,21,24.23403114096336,72,25.001328732949915,1,Chair,Metal,Red,Urban,Fall,Retail,BrandD,11465.199205883955
178.17822246986043,92.52339044938948,2,48.072559504268156,83,10.44080889566158,1,Chair,Wood,Black,Suburban,Spring,Online,BrandD,-4000.4735695909503
66.59912630953976,42.89118173730904,18,35.597981363960855,52,26.764587506098827,3,Chair,Wood,Red,Suburban,Fall,Retail,BrandA,2101.2287559843026
324.3039502909536,286.2695590651606,47,11.728007380628556,99,14.114199590314703,5,Chair,Wood,Blue,Suburban,Spring,Retail,BrandB,9263.526772297475
276.2055604529877,193.38821178737516,33,29.983954171591954,123,15.834220906764898,6,Sofa,Wood,White,Suburban,Winter,Retail,BrandB,8213.869265378893
73.16543806249521,49.247045750962315,37,32.690834559211815,167,29.99122913465493,4,Desk,Glass,Red,Urban,Summer,Online,BrandA,12603.712270593634
175.39090890647515,119.80599435524692,34,31.692015793628244,44,25.29908898456484,7,Bed,Glass,White,Urban,Summer,Retail,BrandC,13569.838883936782
458.7196486849942,267.68726825130244,20,41.64469103979344,195,10.8531001731894,7,Table,Fabric,Red,Suburban,Fall,Retail,BrandB,10071.311231874952
157.8028508001376,102.17464246923605,35,35.25171316540819,136,0.3103678941809984,2,Chair,Glass,Blue,Rural,Summer,Retail,BrandC,8654.806252716322
115.20269244105039,74.64273933657086,18,35.207469760512936,104,18.78522221381684,2,Bed,Metal,Brown,Rural,Summer,Retail,BrandC,4041.5598842994077
270.2537421249034,140.7865271123274,46,47.9057991925011,149,21.117402783843236,2,Sofa,Glass,White,Rural,Spring,Online,BrandC,8286.39959904083
493.5427043497703,398.3023134349145,24,19.297294859283266,145,19.52408070430139,2,Bed,Metal,Black,Rural,Winter,Retail,BrandD,19115.134365954495
158.92487218017519,105.93960153120779,8,33.33982272384483,105,29.035870534896393,9,Chair,Metal,Red,Urban,Summer,Retail,BrandB,7499.990343626358
352.4609963326453,292.1450349951139,30,17.112804527343066,42,25.88913081996433,5,Desk,Wood,Brown,Urban,Winter,Retail,BrandD,9008.22105377413
392.7288268979229,329.94688262288554,44,15.986079955204174,166,13.464950795419456,8,Bed,Fabric,Red,Urban,Spring,Retail,BrandB,13869.085985426613
156.93689479657985,91.77632286218741,10,41.52023781205367,133,1.8857246241714287,5,Chair,Wood,Black,Rural,Spring,Online,BrandA,779.9854934807486
377.6973568753368,288.160947537051,23,23.705860713194845,47,14.281763085059907,5,Chair,Wood,Blue,Suburban,Summer,Retail,BrandC,9140.250968819008
215.50240972366396,148.46235160813683,49,31.10872783348073,125,20.677320598860693,1,Table,Glass,Green,Rural,Summer,Retail,BrandB,8200.93393116468
334.53762376711074,285.0470293423015,11,14.793730483140582,6,18.231294246810137,6,Table,Glass,Red,Urban,Spring,Online,BrandB,8706.563363349416
335.08836984240264,196.46106191877362,2,41.37037283294184,196,16.144112031326546,4,Desk,Metal,Black,Rural,Spring,Retail,BrandA,2957.1170126703023
291.0986078336413,224.47349550942823,26,22.887471987598232,15,14.06456874045724,3,Table,Glass,Green,Suburban,Fall,Online,BrandD,1735.354027286363
90.63039652448373,67.34752459358617,36,25.689915109891093,128,8.81285619082159,6,Desk,Glass,Red,Suburban,Fall,Retail,BrandB,-2757.917188161514
425.88612301515707,263.2489820690646,33,38.187940897126694,114,8.320402851738876,2,Sofa,Plastic,White,Rural,Winter,Online,BrandB,17838.86942981176
194.35102923728113,107.7949251063798,47,44.53596385395309,36,15.006944367774057,8,Sofa,Metal,Brown,Urban,Spring,Online,BrandD,1982.0047872342475
133.9333296799344,101.87717798898983,13,23.93440958090893,164,4.818094392889471,1,Table,Metal,Brown,Urban,Winter,Retail,BrandD,-85.80655359342154
68.34881369964376,54.36731087578872,40,20.456101674706773,124,10.220562707244047,9,Sofa,Plastic,Black,Urban,Spring,Online,BrandB,256.4033807606611
315.90182443470883,197.83381371188372,25,37.374906249466,80,9.719378241302987,8,Bed,Metal,White,Rural,Winter,Online,BrandD,937.4831860965296
354.9039628290271,268.99344002606557,4,24.20669583910744,191,17.613984047526028,1,Bed,Fabric,Blue,Urban,Fall,Retail,BrandA,2720.605622954953
57.46452301753527,37.81466516291997,42,34.19476369553986,61,2.0004690108907375,9,Bed,Fabric,Green,Rural,Spring,Retail,BrandA,1746.1517347991426
280.44187623467644,220.2261687138435,19,21.471724668695295,71,24.890060407952852,2,Sofa,Plastic,Black,Urban,Spring,Retail,BrandC,813.0759205885479
151.92309883907208,88.0677101787289,18,42.03138900423787,188,16.871351411532064,3,Bed,Glass,Red,Suburban,Winter,Retail,BrandB,12699.183983243478
340.32775568425245,291.34982741157427,37,14.391399894553025,124,20.12480042327806,2,Desk,Fabric,Brown,Suburban,Winter,Retail,BrandA,-2096.676694569782
128.46489305224617,79.00126375497906,30,38.50361614137681,160,21.092817112782985,8,Chair,Plastic,Red,Urban,Summer,Retail,BrandA,-1275.7829656450212
360.92198214610966,233.55781015566103,19,35.288560489753884,65,8.744524105276096,2,Table,Fabric,Green,Rural,Summer,Retail,BrandA,3374.121248561565
224.03090583524184,117.2212099761402,23,47.676321916786016,29,14.111147021545996,2,Desk,Wood,White,Urban,Fall,Retail,BrandC,-2366.282109720227
471.52849493153053,256.79672172269994,16,45.53951150714895,19,28.687378676090017,1,Bed,Plastic,White,Rural,Spring,Retail,BrandD,16669.687774407594
111.88442486569696,79.02897735088565,1,29.36552389150688,187,23.001157139904446,7,Chair,Metal,Black,Suburban,Spring,Online,BrandC,11322.93425673523
203.47985797261632,123.51981692835611,12,39.29629293088114,81,29.08670625669556,2,Table,Fabric,Black,Rural,Winter,Online,BrandC,-1690.7662143615314
101.06308455826507,84.30602575950925,24,16.580790970312222,106,22.387630354388648,5,Desk,Metal,White,Urban,Fall,Online,BrandC,8226.181199951683
466.1121282253533,235.79557077539775,34,49.412264453801846,151,5.268004191255522,5,Table,Plastic,Black,Suburban,Spring,Online,BrandC,17995.65726135508
444.80270902144144,289.8501784399941,8,34.83623805312254,131,1.936076515340287,3,Sofa,Fabric,White,Rural,Fall,Online,BrandB,11770.102370261626
166.07373247182002,105.44655986978607,18,36.5061781292363,36,17.32984310158991,3,Bed,Metal,Green,Rural,Summer,Online,BrandB,1935.2579131362459
