name,address,addressObj/country,addressObj/postalcode,addressObj/state,cuisine,description,DietaryRestrictions,Dishes,Features,latitude,longitude,localAddress,Meal Type,numberOfReviews,phone,rankingDenominator,rankingPosition,rating,rawRanking
Social Whitefield,"Phoenix Market City, Whitefield, Bengaluru 560048 India",India,560048,Karnataka,Bar Asian Pub      ,,   ,Burger Wings Chili                     ,Reservations Seating Serves Alcohol Full Bar Table Service                        ,12.997407,77.696335,"Phoenix Market City, Whitefield, 560048",Lunch Dinner Brunch   ,118,+91 80 4962 6661,5993,486,3.5,3.245129824
Food Street / Thindi Bheedi,"Sajjan Rao Circle, Bengaluru 560004 India",India,560004,Karnataka,Indian Fast Food Healthy      ,Thindi Beedhi - Bangalore's famous one and only food street which serves hot and fresh food cooked in front of your eyes.,Vegetarian Friendly Vegan Options  ,Juice & Smoothies Noodle Salad Cakes Roti Pav Bhaji                  ,Takeout Street Parking Digital Payments Cash Only Drive Thru Family style                       ,12.951469,77.57745,"Sajjan Rao Circle, 560004",Dinner Late Night    ,220,+91 74111 22233,5993,173,4,3.66583395
Ebony Restaurant,"84 Hotel Ivory Tower The Penthouse Floor Mg Road, Bengaluru 560001 India",India,560001,Karnataka,Indian Asian       ,"It does not get more romantic than this. An al fresco restaurant perched 200 feet high among the clouds, lit by a canopy of stars and with the beautiful garden city of Bangalore spread at its feet....Ebony had been wow-ing clientele for more than two decades with its eclectic mix of cuisines, un-obtrusive service and unsurpassable setting. Sitting on the 13th floor of Barton Centre on M G Road, the restaurant serves an unusual mix of Pan - Indian and Parsee classics, with a few European and South Asian favourites thrown in for good measure. Ebony celebrates food that is unpretentious in nature, timeless in its appeal and needless to say prepared to ellipse all other senses. With an extensive cocktail menu and a vast number of seating options the restaurant is an ideal choice of an intimate diner, a family gathering or even a corporate celebration. Ample reserved parking for more than 70 cars for dinner means you never have that sticky decision to make. Dinners at Ebony are a la carte, but with a host of custom designed set-course menus to choose from, planning a memorable evening out within a budget was never so easy. Lunches at Ebony between Monday and Friday are the VFM (Value for Money) Executive Lunch buffets. The best of our Indian, Asian and European selections in a buffet spread featuring close to 18 dishes in 4 courses. And all this for an unbeatable price of Rs.395.00 plus taxes and levies. Saturday's are our World on Plate Buffet featuring a truly expansive 5 course buffet with many signature dishes from our Indian, Tandoor, Parsee, European and Asian repertoire. This truly One Size Fits all buffet has something in it for all tastes and all appetites. And at Rs.495.00 plus taxes and levies, there is no better way to kick start your weekend.",Vegetarian Friendly Vegan Options Gluten Free Options ,Salad Chili Curry Beef Fish Paneer Roti                 ,Takeout Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Accepts Credit Cards Table Service             ,12.975222,77.60513,"84 Hotel Ivory Tower The Penthouse Floor Mg Road, 560001",Lunch Dinner    ,340,+91 80 4178 3344,5993,155,4,3.716874361
Vanamo,"#368, Hal 2nd Stage 100 Feet Road, Indira Nagar, Bengaluru 560008 India",India,560008,Karnataka,Cafe International Mediterranean European Healthy    ,"Ready for an expedition of international tastes? 

Rare. Fresh. Pure. We present to you a passport to a world of taste sensations. Freshly Made Global Cuisine  Meets Artisanal Coffee.

In the heart of Indiranagar, Vanamo is a culinary sanctuary where artisanal coffee meets freshly made global cuisine. 

Vanamo is an expedition of artisanal flavours carefully curated from across the world. Be it from the back streets of Korea to the upper echelons of France, or maybe even be laced with the rich heritage of Turkish food culture. You name a country, and we may just be able to teleport you in an instant! However, great food is incomplete without great beverages, and we went out to bring the planet’s richest flavoured coffees to your tables. Close your eyes and indulge in sinful crafted single-origin coffee from Ethiopia and Columbia, and our speciality grounded coffees blend in the world's most artistic coffee machine.

",   ,                       ,Reservations Outdoor Seating Private Dining Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Discover Accepts Credit Cards Table Service Family style            ,12.969271,77.64158,"#368, Hal 2nd Stage, 100 Feet Road, Indira Nagar, 560008",Breakfast Lunch Dinner Brunch Drinks ,7,090082 66669,5993,497,5,3.239985704
The Lantern,"Residency Road The Ritz-Carlton, Bengaluru 560025 India",India,560025,Karnataka,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,"The Lantern is recognized amongst Asia Pacific's Top 75 Restaurants for the previous three years running. This award-winning fine dining restaurant celebrates the rich culinary heritage of Cantonese cuisine. A meticulously curated menu by our International Master Chefs feature specialty dim sums, authentic Chinese delicacies complemented with Asian inspired cocktails. The alfresco seating surrounded by lush foliage and water bodies presents a serene getaway in the bustling city. Resembling a Chinese lantern, the restaurant's unique dining and lifestyle experiences explore diverse aspects of the world-famous Chinese cuisine. Two levels of indoor seating are characterized by rich hardwoods and stately granites. Exotic textiles and porcelain vessels line the walls and recessed lighting bathes each table in a warm luminescence. Enjoy benefits the moment you join Marriott Bonvoy Rewards Program. Earn and redeem Marriott Bonvoy points every time you dine with us.",Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Dim Sum Dumplings Lobster Chili Prawns Duck Lamb Fried rice Fish Pork             ,Takeout Reservations Private Dining Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Cash Only Free Wifi Accepts Credit Cards Table Service            ,12.968014,77.60145,"Residency Road, The Ritz-Carlton, 560025",Lunch Dinner Brunch   ,217,+91 80 4914 8000,5993,111,4.5,3.984504938
Arbor Brewing Company - Brewpub & Eatery,"3rd Floor, Allied Grande Plaza, 8 Magrath Road Ashok Nagar, Bengaluru 560038 India",India,560038,Karnataka,American Bar Pub Gastropub     ,"For over 30 years, small, independent craft brewpubs have been springing up across the U.S.A. to quench the thirst for distinctive, fresh, local beer. American craft beer - like the people who drink it - is all about taste, character, creativity, and individuality. Arbor Brewing Company is bringing that American brewing spirit to Bangalore because life is too short to drink bland beer!",Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Chicken Wings Burger Salad Tacos Wings Calamari Nachos Prawns Lamb Pesto Fish Pork           ,Reservations Outdoor Seating Seating Parking Available Validated Parking Valet Parking Television Serves Alcohol Full Bar Accepts Credit Cards Table Service                  ,12.970209,77.610825,"3rd Floor, Allied Grande Plaza, 8 Magrath Road, Ashok Nagar, 560038",Lunch Dinner Brunch Late Night Drinks ,636,80-67921222-0,5993,92,4,4.117317677
Bistro Claytopia,"11, 80 Feet Road, 3rd Block, Next To State Bank Of India, Koramangala, Bengaluru 560034 India",India,560034,Karnataka,American Cafe       ,"Bangalore's first paint-your-own pottery studio and bistro Description Create your own masterpiece in four simple steps: You... Pick a piece (premoulded and heated white clay) - Choose your colours - Sketch your design - Paint it! We... Leave the rest to us. We glaze it and fire it for you. Your ceramic masterpiece is ready to be collected in 2 weeks Add a personal touch to your home decor, that gift for your loved one, or simply come and enjoy the perfect cup of coffee in our cozy cafe. Relax and paint while indulging in our delicious burgers, pastas, sandwiches, subs, salads, soups, all day breakfast, waffles, pancakes, desserts, coffees and more... We are also a popular venue for: Birthday parties Corporate events Charity Events Team building exercises Family parties Kitty parties School art sessions",Vegetarian Friendly   ,Sandwiches Pasta Burger Salad Pesto                   ,Delivery Takeout Reservations Outdoor Seating Seating Table Service                       ,12.925585,77.63349,"11, 80 Feet Road, 3rd Block, Next To State Bank Of India, Koramangala, 560034",Lunch Dinner Brunch Late Night  ,102,+91 95387 06203,5993,353,4,3.335356712
Wabi Sabi,"The Oberoi 37 - 39 Mahatma Gandhi Road Trinity Circle, Bengaluru 560001 India",India,560001,Karnataka,Chinese Japanese Sushi Asian Shanghai    ,Our new Asian restaurant Wabi Sabi is inspired by its namesake Oriental philosophy that appreciates the complexity of simplicity. A breathtaking 24 carat gold leaf wall provides a stunning backdrop to the live sushi & sashimi counter & the soft murmur of the waterfall outside creates a zen-like soundscape. It offers a selection of Chinese & Japanese favourites expertly curated by expatriate chefs,Vegetarian Friendly Vegan Options  ,Noodle Lobster Sashimi                     ,Reservations Seating Serves Alcohol Accepts Credit Cards Table Service                        ,12.973068,77.61802,"The Oberoi 37 - 39 Mahatma Gandhi Road, Trinity Circle, 560001",Lunch Dinner    ,49,+91 80 2558 5858,5993,128,5,3.824762106
7rivers Brewing Co,"7 Rivers Brewing Co., Taj Mg Road 41/3, Mahatma Gandhi Road, Bengaluru, Karnataka, Bengaluru 560001 India",India,560001,Karnataka,Italian Chinese Indian Brew Pub Bar Contemporary   ,,Vegetarian Friendly   ,                       ,Reservations Seating Serves Alcohol Accepts Credit Cards Table Service                        ,12.97326,77.61967,"7 Rivers Brewing Co., Taj Mg Road, 41/3, Mahatma Gandhi Road, Bengaluru, Karnataka, 560001",Lunch Dinner    ,51,+91 80666 04333,76,3,5,4.20030117
"Oia, Hennur Main Road, Airport road","Hennur Main Road, Opp Mantri Webcity Visthar, Bengaluru 560077 India",India,560077,Karnataka,Italian Indian Pub Gastropub     ,,   ,                       ,Reservations Outdoor Seating Private Dining Seating Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts Credit Cards                   ,13.073504,77.651085,"Hennur Main Road, Opp Mantri Webcity, Visthar, 560077",Lunch Dinner Drinks   ,9,+91 96060 31145,5993,1737,3.5,3.0563972
Mamagoto,"109 12th Main Road, Bengaluru 560038 India",India,560038,Karnataka,Chinese Asian Thai Szechuan Singaporean Shanghai Hong Kong  ,,Vegetarian Friendly Vegan Options  ,Noodle Dumplings Pad Thai Shrimp Tempura Ramen Salad Chili Laksa Curry Prawns Lamb Fried rice Fish          ,Delivery Takeout Reservations Seating Valet Parking Serves Alcohol Table Service                      ,12.970122,77.63923,"109 12th Main Road, 560038",Lunch Dinner    ,192,+91 80 4093 7237,5993,210,4,3.56443572
Kapoor's Cafe,"Marathalalli Rd Near Thubarahalli Bus Stop, Inside Gurukul Compound, Thubarahalli, Whitefield, Bengaluru 560066 India",India,560066,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,Paneer Roti                      ,Delivery Takeout Seating Parking Available Accepts Credit Cards Table Service                       ,12.956111,77.72001,"Marathalalli Rd, Near Thubarahalli Bus Stop, Inside Gurukul Compound, Thubarahalli, Whitefield, 560066",Breakfast Lunch Dinner Brunch  ,150,+91 97392 67702,5993,242,4,3.467400074
Rajdhani Thali,"Brigade Gateway 26/1 Dr. Rajkumar Road Orion Mall, Level 2, Bengaluru 560055 India",India,560055,Karnataka,Indian        ,"Rajdhani, The Vegetarian Thali Restaurant which is the flagship brand of Mirah Hospitality has spread its aroma in this industry over the past few decades. Known as a ""thali place"" with 72 different rotating menus with 22,464 delicacies from Gujarat and Rajasthan. Rajdhani offers even to the most regular customers out of 9 million delighted guests the aroma of novelty.",Vegetarian Friendly Vegan Options  ,Curry Thali Roti                     ,Reservations Seating Wheelchair Accessible Table Service                         ,13.011042,77.55502,"Brigade Gateway 26/1 Dr. Rajkumar Road, Orion Mall, Level 2, 560055",Lunch Dinner    ,105,+91 80 2268 2092,5993,344,4,3.341884851
Eden Park Bar And Restaurant,"21/1 Cunningham Road Ground Floor Behind The Hindu Office Shivaji Nagar, Bengaluru 560052 India",India,560052,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,Fish                       ,Takeout Reservations Seating Parking Available Validated Parking Serves Alcohol Full Bar Table Service                     ,12.983494,77.59871,"21/1 Cunningham Road, Ground Floor Behind The Hindu Office Shivaji Nagar, 560052",Lunch Dinner    ,65,+91 80 2286 1100,5993,455,4,3.259193897
Shao,"Outer Ring Road Radisson Blu Outer Ring Road, Bengaluru 560037 India",India,560037,Karnataka,Chinese Asian Thai Cantonese Szechuan Shanghai Hong Kong  ,"Tantalize your palate at our award-winning signature restaurant, where our chefs will mesmerize you with their skills. Shao brings to you the best of Chinese, Thai, Japanese and Korean dishes under one roof for an unforgettable culinary experience.",Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Dim Sum Tempura Chili Curry Prawns Beef Lamb Fried rice Pork Hot and Sour Soup             ,Reservations Seating Validated Parking Wheelchair Accessible Serves Alcohol Full Bar Table Service                      ,12.950286,77.69859,"Outer Ring Road, Radisson Blu Outer Ring Road, 560037",Lunch Dinner    ,167,+91 80670 76909,5993,61,4.5,4.456302166
The Grill House,"8/6 The Grill House Kensington Road Near Gurudwara, Bengaluru 560001 India",India,560001,Karnataka,American Steakhouse Bar International Barbecue Pub   ,,Vegetarian Friendly   ,Pasta Burger Wings Nachos Beef Lamb Pesto Fish                ,Takeout Reservations Seating Television Serves Alcohol Full Bar Table Service                      ,12.975105,77.62,"8/6 The Grill House Kensington Road, Near Gurudwara, 560001",Lunch Dinner Late Night   ,103,+91 80 4097 7011,5993,280,4,3.412070751
Eshanya,"33, 26th Main, 36th Cross, 4th 'T' Block, Near Ssmrv College, Jayanagar, Bengaluru India",India,,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options Gluten Free Options ,Curry Thali Roti                     ,Reservations Seating Table Service                          ,12.923056,77.59321,"33, 26th Main, 36th Cross, 4th 'T' Block, Near Ssmrv College, Jayanagar",Lunch Dinner    ,109,+91 80 2653 1155,5993,494,4,3.240929604
Toscano,"24 Vittal Mallya Road The Collection - U.B. City, Level II, Bengaluru 560001 India",India,560001,Karnataka,Italian Pizza European      ,,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Cheesecake Lasagne Salad Risotto Tiramisu Minestrone Salmon Beef Lamb Antipasti Pesto Fish Penne Pepperoni Pizza         ,Takeout Reservations Outdoor Seating Seating Parking Available Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Accepts Credit Cards Table Service Live Music                 ,12.971995,77.59605,"24 Vittal Mallya Road, The Collection - U.B. City, Level II, 560001",Lunch Dinner Brunch Late Night  ,428,+91 80 4173 8800,5993,97,4,4.100059509
1947 Restaurant,"100 Ram Towers 100 Feet Ring Road Near Deve Gowda Petrol Bunk, Bengaluru 560070 India",India,560070,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,                       ,Delivery Takeout Reservations Seating Table Service                        ,12.922704,77.556435,"100 Ram Towers 100 Feet Ring Road, Near Deve Gowda Petrol Bunk, 560070",Lunch Dinner Brunch   ,55,+91 97399 89446,5993,326,4,3.358010054
China Pearl,"53/1 5'th Cross Road Koramangala, Bengaluru 560095 India",India,560095,Karnataka,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,,Vegetarian Friendly   ,Noodle Crab Prawns Lamb Fried rice Fish Paneer                 ,Delivery Takeout Reservations Seating Table Service                        ,12.936072,77.6214,"53/1 5'th Cross Road, Koramangala, 560095",Lunch Dinner Late Night   ,204,+91 80 4110 5060,5993,165,4,3.686296463
Yauatcha,"5 Mahatma Gandhi Road Level 5, 1 MG Road Mall, Bengaluru 560043 India",India,560043,Karnataka,Chinese Asian Cantonese Shanghai Hong Kong    ,"Yauatcha, the Michelin starred dim sum tea house from London is a contemporary yet casual tea house that offers an all-day dining experience. Serving Modern Cantonese cuisine, it offers affordable luxury in the world of eclectic food expression. Yauatcha Bengaluru has an al-fresco area offering an all-day dining experience with dim sum, wok preparations, macarons and petit gateaux. Additionally, the palette of design materials used in Yauatcha Bengaluru forms a modern interpretation of the old Chinese teahouse. The seating embodies the atmosphere of a congenially vibrant 'chatter shop,' akin to the traditional Hong Kong dim sum restaurants. Beautifully embroidered Chinese motifs on the leather chairs lend an added sense of grace to the restaurant. The lighting of the tables is accentuated with ceramic shades handmade in Scotland.",Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Dim Sum Dumplings Kung Pao Chicken Ribs Shrimp Salad Chili Curry Macarons Macaroons Prawns Toasts Duck Lamb Cakes Fried rice Fish Pork Hot and Sour Soup    ,Takeout Reservations Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service Family style           ,12.973019,77.62044,"5 Mahatma Gandhi Road, Level 5, 1 MG Road Mall, 560043",Lunch Dinner Late Night   ,317,+91 97314 96901,5993,84,4.5,4.183969021
Sattvam,"No 281 15th Cross Road 2nd Floor, 5th Phase, Bengaluru 560078 India",India,560078,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,Ice Cream Roti                      ,Reservations Seating Table Service                          ,12.906231,77.58687,"No 281 15th Cross Road, 2nd Floor, 5th Phase, 560078",Lunch Dinner    ,40,+91 80 2659 5000,5993,472,4,3.251436472
Udupi Sri Krishna Bhavan,"Shop No. 115/116, 1st Floor, Gandhi Bazaar, Basavanagudi Near HDFC Bank, Bengaluru India",India,,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout Seating Table Service                          ,12.946071,77.5704,"Shop No. 115/116, 1st Floor, Gandhi Bazaar, Basavanagudi, Near HDFC Bank",Breakfast Lunch Dinner Brunch  ,43,+91 80 2667 6565,5993,386,4,3.305862904
Mynt,"ITPB, Whitefield, Bengaluru 560066 India",India,560066,Karnataka,Italian Indian International Mediterranean Asian    ,"A sumptuous breakfast, a business lunch or a relaxed evening meal; Mynt, the all-day dining offers a choice of à la carte or buffet with indoor and Al fresco seating.",Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Salad Curry Cakes                    ,Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards Table Service Dog Friendly Non-smoking restaurants          ,12.98679,77.737434,"ITPB, Whitefield, 560066",Breakfast Lunch Dinner Brunch Late Night Drinks,121,+91 80673 43058,5993,226,4,3.501103163
Zaitoon,"138 Maruthi Towers Ground Floor Old Airport Road Maruthi Towers, Bengaluru 560008 India",India,560008,Karnataka,Indian Barbecue Middle Eastern      ,,Vegetarian Friendly Halal  ,Shawarma Hummus Fish                     ,Delivery Takeout Reservations Seating Parking Available Table Service                       ,12.959722,77.64699,"138 Maruthi Towers Ground Floor Old Airport Road, Maruthi Towers, 560008",Lunch Dinner    ,143,+91 80 4148 2777,5993,284,4,3.406517744
